calltime,street,crossroad1,crossroad2,geox,geoy,nature,FIRST UNIT DISPATCHED,first Dispatch Time,first unit on the way,first unit there,last unit to leave the scene,primeunit,reptaken,closecode,notes,timeclose,Latitude,Longitude
01/01/2013 00:01:10,1572 S 11TH ST,GREENFIELD ST,E LAKE SHORE DR,2322294,171475.7,ALERT NOTIFICATION SHOTSPOTTER,306,01/01/2013 00:07:37,01/01/2013 00:07:37,01/01/2013 00:10:35,01/01/2013 00:12:55,306,      ,NEGC,"SHOTS FIRED AT 1572 S 11TH ST AT 23:59:18 12/31/2012: 3 ROUNDS; SHOTSPOTTER FLEX ID 7246. (34.2163410709,-77.9339215163)  [01/01/13 00:01:14 DHA]  {306} in the area  [01/01/13 00:09:57 EOB]  ",01/01/2013 00:12:57,34.21634107,-77.93392152
01/01/2013 00:08:18,718 S 10TH ST,SHAWS ALY,WOOSTER ST,2321714.75,175223.95,ALERT NOTIFICATION SHOTSPOTTER,291,01/01/2013 00:12:02,01/01/2013 00:12:47,01/01/2013 00:15:36,01/01/2013 00:16:07,291,      ,ASST,"SHOTS FIRED AT 718 S 10TH ST AT 00:01:07 01/01/2013: 3 ROUNDS; SHOTSPOTTER FLEX ID 7256. (34.2267918694,-77.9357923947)  [01/01/13 00:08:20 DHA]  {138} in the area  [01/01/13 00:14:53 EOB]  ",01/01/2013 00:16:09,34.22679187,-77.93579239
01/01/2013 00:11:48,709 BROOKS ALY,N 7TH ST,N 8TH ST,2320131.25,180887.61,ALERT NOTIFICATION SHOTSPOTTER,263,01/01/2013 00:13:03,01/01/2013 00:13:29,01/01/2013 00:17:35,01/01/2013 00:19:28,263,      ,UTL ,"SHOTS FIRED AT 709 BROOKS ALLEY AT 00:04:16 01/01/2013: 1 ROUND; SHOTSPOTTER FLEX ID 7269. (34.242228145,-77.9413209488)  [01/01/13 00:11:50 DHA]  {263} area clear  [01/01/13 00:19:26 EOB]  ",01/01/2013 00:19:34,34.24222815,-77.94132095
01/01/2013 00:12:57,516 WALNUT ST,N 5TH AVE,N 6TH ST,2319517.75,180135.83,ALERT NOTIFICATION SHOTSPOTTER,263,01/01/2013 00:22:09,01/01/2013 00:22:09,01/01/2013 00:22:40,01/01/2013 00:23:16,263,      ,CKSE,"SHOTS FIRED AT 516 WALNUT ST AT 00:05:34 01/01/2013: 1 ROUND; SHOTSPOTTER FLEX ID 7275. (34.2403352901,-77.9436018477)  [01/01/13 00:13:01 DHA]  ",01/01/2013 00:23:16,34.24033529,-77.94360185
01/01/2013 00:13:12,612 RED CROSS ST,N 6TH ST,N 7TH ST,2319797.25,180569.08,ALERT NOTIFICATION SHOTSPOTTER,263,01/01/2013 00:20:05,01/01/2013 00:20:32,01/01/2013 00:23:27,01/01/2013 00:23:42,263,      ,CKSE,"SHOTS FIRED AT 612 RED CROSS ST AT 00:01:12 01/01/2013: 1 ROUND; SHOTSPOTTER FLEX ID 7257. (34.2414596747,-77.9424866045)  [01/01/13 00:13:17 SEM]  ",01/01/2013 00:23:43,34.24145967,-77.9424866
01/01/2013 00:13:50,1146 RANKIN ST,N 11TH ST,N 12TH ST,2321786.5,180544.84,ALERT NOTIFICATION SHOTSPOTTER,23,01/01/2013 00:20:51,NULL,01/01/2013 00:20:51,01/01/2013 00:21:32,23,      ,ACOM,"SHOTS FIRED AT 1146 RANKIN ST AT 00:01:16 01/01/2013: 5 ROUNDS; SHOTSPOTTER FLEX ID 7258. (34.2411190639,-77.9353228006)  [01/01/13 00:13:54 SEM]  {23} had some go off when I pulled up to 5th and Rankin        poss fireworks  [01/01/13 00:21:26 EOB]  ",01/01/2013 00:21:36,34.24111906,-77.9353228
01/01/2013 00:13:52,1200 TAFT ALY,MARSTELLAR ST, ,2321338.5,173114.08,ALERT NOTIFICATION SHOTSPOTTER,138,01/01/2013 00:18:52,01/01/2013 00:18:52,01/01/2013 00:19:16,01/01/2013 00:22:12,138,      ,UTL ,"SHOTS FIRED AT 1189 TAFT ALLEY AT 00:06:33 01/01/2013: 1 ROUND; SHOTSPOTTER FLEX ID 7279. (34.2204413955,-77.9365542529)  [01/01/13 00:13:54 DHA]  {138} in the area  [01/01/13 00:19:20 EOB]  ",01/01/2013 00:22:16,34.2204414,-77.93655425
01/01/2013 00:15:11,852 S 8TH ST,WOOSTER ST,DAWSON ST,2320965,174719.09,ALERT NOTIFICATION SHOTSPOTTER,291,01/01/2013 00:16:49,01/01/2013 00:16:49,NULL,01/01/2013 00:19:55,291,      ,UTL ,"SHOTS FIRED AT 852 S 8TH ST AT 00:01:33 01/01/2013: 3 ROUNDS; SHOTSPOTTER FLEX ID 7259. (34.225290285,-77.9384974218)  [01/01/13 00:15:15 SEM]  ",01/01/2013 00:19:56,34.22529029,-77.93849742
01/01/2013 00:15:34,622 RED CROSS ST,N 6TH ST,N 7TH ST,2319664.25,180558.5,ALERT NOTIFICATION SHOTSPOTTER,116,01/01/2013 00:20:29,01/01/2013 00:20:34,01/01/2013 00:20:37,01/01/2013 00:22:04,116,      ,ACOM,"SHOTS FIRED AT 622 RED CROSS ST AT 00:04:49 01/01/2013: 1 ROUND; SHOTSPOTTER FLEX ID 7272. (34.241483475,-77.9423707911)  [01/01/13 00:15:37 SEM]  {116} was fireworks  [01/01/13 00:22:04 EOB]  ",01/01/2013 00:22:08,34.24148348,-77.94237079
01/01/2013 00:15:54,1142 S 9TH ST,MEARES ST,MARSTELLAR ST,2321506.75,173430.36,ALERT NOTIFICATION SHOTSPOTTER,138,01/01/2013 00:17:03,01/01/2013 00:17:30,NULL,01/01/2013 00:18:47,138,      ,INFO,"SHOTS FIRED AT 1142 S 9TH ST AT 00:05:25 01/01/2013: 5 ROUNDS; SHOOTERS MOVING SE AT 47.0 MPH. SHOTSPOTTER FLEX ID 7273. (34.2213712563,-77.936706407)  [01/01/13 00:15:57 SEM]  ",01/01/2013 00:18:47,34.22137126,-77.93670641
01/01/2013 00:18:48,739 MCRAE ST,HANOVER ST,FANNING ST,2320436.5,181648,ALERT NOTIFICATION SHOTSPOTTER,263,01/01/2013 00:24:04,01/01/2013 00:24:04,01/01/2013 00:24:10,01/01/2013 00:35:28,263,      ,UNFD,"SHOTS FIRED AT 739 MCRAE ST AT 00:16:58 01/01/2013: 5 ROUNDS; SHOTSPOTTER FLEX ID 7299. (34.2444113569,-77.939903926)  [01/01/13 00:18:51 SEM]  ",01/01/2013 00:35:28,34.24441136,-77.93990393
01/01/2013 00:21:17,839 MILLIS ALY,WOOSTER ST,DAWSON ST,2321175.5,174803.41,ALERT NOTIFICATION SHOTSPOTTER,          ,NULL,NULL,NULL,NULL,      ,      ,DUP ,"SHOTS FIRED AT 839 MILLIS ALLEY AT 00:08:27 01/01/2013: 12 ROUNDS; SHOTSPOTTER FLEX ID 7286. (34.2255474594,-77.9376924399)  [01/01/13 00:21:20 DHA]  ",01/01/2013 00:21:49,34.22554746,-77.93769244
01/01/2013 00:21:17,839 MILLIS ALY,WOOSTER ST,DAWSON ST,2321175.5,174803.41,ALERT NOTIFICATION SHOTSPOTTER,291,01/01/2013 00:22:28,01/01/2013 00:22:28,01/01/2013 00:24:21,01/01/2013 00:26:39,291,      ,UTL ,"SHOTS FIRED AT 839 MILLIS ALLEY AT 00:08:27 01/01/2013: 12 ROUNDS; SHOTSPOTTER FLEX ID 7286. (34.2255474594,-77.9376924399)  [01/01/13 00:21:20 SEM]  church group letting out in pva. No one seems concerned.  [01/01/13 00:24:08 Unit:291]  ",01/01/2013 00:26:42,34.22554746,-77.93769244
01/01/2013 00:25:28,1033 THOMAS C JERVAY LP,WRIGHT ST,WRIGHT ST,2321459.75,173934.77,ALERT NOTIFICATION SHOTSPOTTER,138,01/01/2013 00:25:45,01/01/2013 00:25:45,01/01/2013 00:25:45,01/01/2013 00:30:05,138,      ,UNFD,"SHOTS FIRED AT 1033 THOMAS C JERVAY LOOP AT 00:23:42 01/01/2013: 1 ROUND; SHOTSPOTTER FLEX ID 7304. (34.2230519405,-77.9366690963)  [01/01/13 00:25:35 DHA]  ",01/01/2013 00:30:06,34.22305194,-77.9366691
01/01/2013 00:26:49,1599 SIMON ST/WILLARD ST, , ,2319630,171129.23,ALERT NOTIFICATION SHOTSPOTTER,78,01/01/2013 00:37:33,NULL,NULL,01/01/2013 00:37:33,78,      ,INFO,"SHOTS FIRED IN THE VICINITY OF SIMON ST AT 00:15:01 01/01/2013: 1 ROUND; SHOTSPOTTER FLEX ID 7298. (34.2154399099,-77.9429672651)  [01/01/13 00:26:59 DHA]  BOLOed WPDW      78 copied  [01/01/13 00:37:31 EOB]  ",01/01/2013 00:37:35,34.21543991,-77.94296727
01/01/2013 00:28:29,424 S 10TH ST,ANN ST,CASTLE ST,2321537.5,176776.08,ALERT NOTIFICATION SHOTSPOTTER,291,01/01/2013 00:29:50,01/01/2013 00:29:52,01/01/2013 00:33:52,01/01/2013 00:39:18,291,      ,UNFD,"SHOTS FIRED AT 424 S 10TH ST AT 00:00:11 01/01/2013: 11 ROUNDS; SHOTSPOTTER FLEX ID 7250. (34.2308520065,-77.9372755122)  [01/01/13 00:28:33 DHA]  ",01/01/2013 00:39:19,34.23085201,-77.93727551
